amount,project,uuid,provider,currency,Legal entity,operation_type,date,buyer_country
917.13,projectC,00f13fde-8dbf-4cec-9bff-a3b6cb997cf0,stripe,GBP,proto-m,DISCOUNT_FEE,10/30/2025,LS
629.63,projectB,4867d7ee-a291-484f-b7e8-fc1c6245d3e2,Nuvei,EUR,proto-m,CHARGEBACK,10/9/2025,JP
636.13,projectC,59186dc3-429d-4b00-af1a-882187f0918f,stripe,USD,metasa-m,SALE,10/22/2025,KE
875.86,projectB,33ed7828-f68d-4275-b22f-e7604dd0557e,Nuvei,GBP,metasa-m,CHARGEBACK,10/3/2025,MQ
921.82,projectC,53ec6b01-e1d3-40b0-9816-69b96627e990,FS Acquiring,GBP,proto-m,DISCOUNT_FEE,10/16/2025,TT
240.55,projectA,dc7184c9-1ff1-49ae-bb7b-89786cd61968,FS Acquiring,GBP,ninja corp,VAT,10/18/2025,CY
599.17,projectB,c38b007f-b045-4b18-a667-b56f3daaa83b,FS Acquiring,GBP,metasa-m,DISCOUNT_FEE,10/11/2025,UZ
69.51,projectA,cfe811ba-e11f-4564-b20f-8f487b54885d,Nuvei,USD,ninja corp,VAT,10/15/2025,MG
433.03,projectA,2b6684c5-f2b7-48b8-bc09-b4b076e75000,FS Acquiring,GBP,proto-m,DISCOUNT_FEE,10/5/2025,BO
892.62,projectC,587425ed-5273-4e6b-aefe-5503e218c9eb,FS Acquiring,GBP,metasa-m,CAPTURE_FEE,10/12/2025,HK
560.18,projectB,69304d58-36da-40ec-9ff1-4b15effeb9da,FS Acquiring,USD,ninja corp,DISCOUNT_FEE,10/19/2025,IO
840.17,projectC,ddfaf313-f8b4-48b1-bc68-ef9752567bb0,stripe,EUR,metasa-m,CHARGEBACK,10/27/2025,UM
71.02,projectB,6f3079ff-937c-4290-8350-dfa70656e73c,FS Acquiring,EUR,metasa-m,DISCOUNT_FEE,10/8/2025,NU
905.82,projectC,3090c094-8b0d-4ed5-a2f0-06d5309f0c63,stripe,GBP,ninja corp,CAPTURE_FEE,10/9/2025,SY
242.18,projectC,72256e26-4901-45c8-9009-022fa66c1027,FS Acquiring,EUR,ninja corp,DISCOUNT_FEE,10/29/2025,CY
559.45,projectC,19478e29-c024-47f7-9c4a-91971beea9f9,Nuvei,USD,proto-m,VAT,10/22/2025,TN
363.15,projectA,dc42eeb7-41b9-4257-a64d-e46e522d434d,Nuvei,EUR,ninja corp,CHARGEBACK,10/10/2025,CF
164.04,projectB,68c8b0e7-4a7b-4c3b-bda9-82c388e9c599,FS Acquiring,USD,metasa-m,CHARGEBACK,10/22/2025,CV
156.4,projectA,2f768977-6390-4bee-9454-a7a59e261622,FS Acquiring,USD,metasa-m,VAT,10/7/2025,MY
374.17,projectC,caa65ddb-6351-4f99-a69a-631cce0238b1,stripe,GBP,ninja corp,CHARGEBACK,10/2/2025,PL
691.64,projectB,c48b78f7-4449-407b-8441-b35a229cd6e7,stripe,USD,ninja corp,SALE,10/13/2025,SY
841.2,projectB,14227095-86d8-40a9-9512-3857cb5fb4e4,stripe,GBP,metasa-m,CHARGEBACK,10/8/2025,DM
697.25,projectA,de950c92-28da-49c7-9e00-983917f336df,Nuvei,EUR,ninja corp,CHARGEBACK,10/1/2025,KZ
374.27,projectC,0f6f0d9a-2835-4281-97d1-53b534c6657c,Nuvei,EUR,ninja corp,DISCOUNT_FEE,10/4/2025,EG
926.58,projectC,37153b25-3320-4b9f-9d90-1e0c624b5270,FS Acquiring,EUR,proto-m,CAPTURE_FEE,10/27/2025,IS
435.22,projectB,cb936c62-2c62-457f-bc54-be92c12030e2,Nuvei,USD,proto-m,VAT,10/11/2025,MN
